labID,age,error,depth,cc,dR,dSTD,ta,tb
TRAM21-1B-3U 10-11,1391,20,270,1,0,0,3,4
TRAM21-1B-3U 21-22,1747,26,281,1,0,0,3,4
TRAM20-1B-3U 56-58,2126,23,298,1,0,0,3,4
TRAM20-1B-3U 75-76,3033,27,323,1,0,0,3,4
TRAM20-1B-3U 88-89,3435,23,342,1,0,0,3,4
TRAM21-1B-3U 114-115,3719,34,374,1,0,0,3,4
TRAM21-1B-3U 133-134,4409,25,393,1,0,0,3,4
TRAM21-1B-4U 21-22,5360,25,406,1,0,0,3,4
TRAM20-1B-4U 70-71,6411,27,446,1,0,0,3,4
TRAM20-1B-4U 97-98,8401,30,461,1,0,0,3,4
TRAM20-1B-4U 115-116,9828,41,483,1,0,0,3,4
TRAM21-1B-4U 101-102,10278,32,486,1,0,0,3,4
TRAM21-1B-4U 109-110,10441,35,494,1,0,0,3,4
